device,model,seed,split,tag,name_cn,unit,r2,rmse,mae,bias,within_tolerance,train_min,train_max,samples
DEA,TCN,20260803,val,SYG1_10LAA10CL101-SEL,#1 机除氧器液位三选,-,-3.3045220375061035,61.87223005163544,24.807205200195312,-9.974689483642578,,1797.94287109375,2375.15283203125,8905
DEA,TCN,20260803,val,SYG1_10CBA00CBK00R107,#1汽机除氧器出口O2（汽水取样画面的除氧器出口溶解氧）,μg/L,-47.370025634765625,4.664768900324282,1.465717077255249,1.2280850410461426,0.9701291409320606,0.0630000829696655,100.58699798583984,8905
DEA,TCN,20260803,test,SYG1_10LAA10CP101,#1 机除氧器压力 1,MPa,-1.999743223190308,0.2584319908172987,0.0365122184157371,-0.021739587187767,0.9946962503184564,0.2540000081062317,1.0740000009536743,43177
DEA,TCN,20260803,test,SYG1_10LAA10CP102,#1 机除氧器压力 2,MPa,-4.316572189331055,0.3398471810178647,0.0321661867201328,-0.0166222043335437,0.99159274613799,0.2520000040531158,1.065000057220459,43177
DEA,TCN,20260803,test,SYG1_10LAA10CT101,#1 机除氧器温度 1,℃,0.318377673625946,7.230373256223803,1.4356073141098022,-0.0773218125104904,0.548857030363388,140.25601196289062,186.7330017089844,43177
DEA,TCN,20260803,test,SYG1_10LAA10CT102,#1 机除氧器温度 2,℃,-2.873558759689331,17.187183058157302,2.3145241737365723,1.4075236320495603,0.389860342311879,140.12599182128906,186.6000061035156,43177
DEA,TCN,20260803,test,SYG1_10LAA10CL101,#1 机除氧器液位 1,mm,-0.8190315961837769,31.936754669629867,17.991687774658203,7.027886867523193,0.4432452463116937,1799.865966796875,2373.44384765625,43177
DEA,TCN,20260803,test,SYG1_10LAA10CL102,#1 机除氧器液位 2,mm,-1.427032232284546,36.144922801632006,16.591358184814453,4.719898223876953,0.4535516594483174,1745.8189697265625,2377.288818359375,43177
DEA,TCN,20260803,test,SYG1_10LAA10CL103,#1 机除氧器液位 3,mm,-1.0852093696594238,30.434911096905843,15.364887237548828,0.9957469701766968,0.5090904879912916,1803.925048828125,2460.60205078125,43177
DEA,TCN,20260803,test,SYG1_10LAA10CL101-SEL,#1 机除氧器液位三选,-,-4.12150764465332,46.87231242295392,15.703323364257812,1.6384384632110596,,1797.94287109375,2375.15283203125,43177
DEA,TCN,20260803,test,SYG1_10CBA00CBK00R107,#1汽机除氧器出口O2（汽水取样画面的除氧器出口溶解氧）,μg/L,-49.54075622558594,4.182555510613724,0.7689365148544312,0.0068173231557011,0.9965027676772356,0.0630000829696655,100.58699798583984,43177
H1,ANN,20260801,train,SYG1_10LAD10CP101,#1 高压加热器压力,MPa,0.998709797859192,0.0838975568526753,0.0633387863636016,-0.013805516064167,0.8099414385384852,3.122000217437744,10.931999206542969,35689
H1,ANN,20260801,train,SYG1_10LAD10CL101-CAL,#1 高压加热器水位 1,mm,0.4541879892349243,13.42659441183802,10.72512912750244,0.0221906714141368,0.537644652413909,-110.88399505615234,52.72899627685547,35689
H1,ANN,20260801,train,SYG1_10LAD10CL102-CAL,#1 高压加热器水位 2,mm,0.5353512763977051,13.601297742971765,10.754583358764648,-0.0928870216012001,0.5447897111154697,-144.71600341796875,63.5410041809082,35689
H1,ANN,20260801,train,SYG1_10LAD10CL103-CAL,#1 高压加热器水位 3,mm,0.5579397678375244,13.15999102467518,10.437714576721191,0.0434411726891994,0.5562778447140575,-147.54200744628906,13.303993225097656,35689
H1,ANN,20260801,train,SYG1_10LCH11CT101,#1 高加汽侧疏水温度,℃,0.9974550604820251,1.08237873102918,0.8118951916694641,-0.1595357805490493,0.6940794082210204,211.4949951171875,281.7899780273437,35689
