device,stage,model,graph,seed,label_fraction,shuffle_labels,hidden,head_hidden,dropout,learning_rate,finetune_encoder,test,best_val_macro_f1,best_epoch,pretrain_val_mse,accuracy,macro_precision,macro_recall,macro_f1
H2,final,GCN-NodeAware,Corr,123,1,False,32,96,0.05,0.0015,False,weak,0.998263867957513,18,0.4295730292797088,0.6076388888888888,0.8403606842888846,0.6076388888888888,0.6133195776689937
H2,final,GCN-NodeAware,Corr,202,1,False,32,96,0.05,0.0015,False,iid,0.996527756846402,12,0.4033412337303161,0.9982638888888888,0.9982758620689656,0.9982638888888888,0.998263867957513
H2,final,GCN-NodeAware,Corr,202,1,False,32,96,0.05,0.0015,False,ood_profile,0.996527756846402,12,0.4033412337303161,0.9913194444444444,0.9914367155312828,0.9913194444444444,0.9913368837180756
H2,final,GCN-NodeAware,Corr,202,1,False,32,96,0.05,0.0015,False,weak,0.996527756846402,12,0.4033412337303161,0.4722222222222222,0.807065320484853,0.4722222222222222,0.4616666946450672
H2,final,GCN-NodeAware,Identity,101,1,False,32,96,0.05,0.0015,False,iid,0.998263867957513,7,0.4241777956485748,0.9982638888888888,0.9982758620689656,0.9982638888888888,0.998263867957513
H2,final,GCN-NodeAware,Identity,101,1,False,32,96,0.05,0.0015,False,ood_profile,0.998263867957513,7,0.4241777956485748,0.9930555555555556,0.9931147619503784,0.9930555555555556,0.9930674035804398
H2,final,GCN-NodeAware,Identity,101,1,False,32,96,0.05,0.0015,False,weak,0.998263867957513,7,0.4241777956485748,0.5295138888888888,0.8138923312232753,0.529513888888889,0.5309433422155756
H2,final,GCN-NodeAware,Identity,123,1,False,32,96,0.05,0.0015,False,iid,0.998263867957513,11,0.433058887720108,1.0,1.0,1.0,1.0
H2,final,GCN-NodeAware,Identity,123,1,False,32,96,0.05,0.0015,False,ood_profile,0.998263867957513,11,0.433058887720108,0.9930555555555556,0.9932432432432432,0.9930555555555556,0.9930726833790122
H2,final,GCN-NodeAware,Identity,123,1,False,32,96,0.05,0.0015,False,weak,0.998263867957513,11,0.433058887720108,0.5798611111111112,0.8432642487046632,0.5798611111111112,0.5900352330295519
H2,final,GCN-NodeAware,Identity,202,1,False,32,96,0.05,0.0015,False,iid,0.9965337017902198,24,0.4103942215442657,1.0,1.0,1.0,1.0
H2,final,GCN-NodeAware,Identity,202,1,False,32,96,0.05,0.0015,False,ood_profile,0.9965337017902198,24,0.4103942215442657,0.9965277777777778,0.9965753424657534,0.9965277777777778,0.9965337017902198
H2,final,GCN-NodeAware,Identity,202,1,False,32,96,0.05,0.0015,False,weak,0.9965337017902198,24,0.4103942215442657,0.4913194444444444,0.8251828631138975,0.4913194444444444,0.4795637604100334
H2,final,GCN-NodeAware,KG,101,1,False,32,96,0.05,0.0015,False,iid,1.0,79,0.4210115671157837,1.0,1.0,1.0,1.0
H2,final,GCN-NodeAware,KG,101,1,False,32,96,0.05,0.0015,False,ood_profile,1.0,79,0.4210115671157837,0.9565972222222222,0.9620723587789456,0.956597222222222,0.9566218518347412
H2,final,GCN-NodeAware,KG,101,1,False,32,96,0.05,0.0015,False,weak,1.0,79,0.4210115671157837,0.5833333333333334,0.8320786142571619,0.5833333333333334,0.5820646256899962
H2,final,GCN-NodeAware,KG,123,1,False,32,96,0.05,0.0015,False,iid,0.998263867957513,11,0.4300534427165985,1.0,1.0,1.0,1.0
H2,final,GCN-NodeAware,KG,123,1,False,32,96,0.05,0.0015,False,ood_profile,0.998263867957513,11,0.4300534427165985,0.9861111111111112,0.986842105263158,0.9861111111111112,0.9862069502248768
H2,final,GCN-NodeAware,KG,123,1,False,32,96,0.05,0.0015,False,weak,0.998263867957513,11,0.4300534427165985,0.5850694444444444,0.8407197109357717,0.5850694444444444,0.596741571310387
H2,final,GCN-NodeAware,KG,202,1,False,32,96,0.05,0.0015,False,iid,0.996527756846402,12,0.4076949059963226,0.9982638888888888,0.9982758620689656,0.9982638888888888,0.998263867957513
H2,final,GCN-NodeAware,KG,202,1,False,32,96,0.05,0.0015,False,ood_profile,0.996527756846402,12,0.4076949059963226,0.9878472222222222,0.988147171620326,0.9878472222222222,0.9878745334740484
H2,final,GCN-NodeAware,KG,202,1,False,32,96,0.05,0.0015,False,weak,0.996527756846402,12,0.4076949059963226,0.4722222222222222,0.8088334302043979,0.4722222222222222,0.4608578987150415
H3,final,AE,KG,101,1,False,32,96,0.05,0.0015,False,iid,0.9618055187635204,10,0.1541561931371688,0.9375,0.939303481646714,0.9375,0.9380137803018076
H3,final,AE,KG,101,1,False,32,96,0.05,0.0015,False,ood_profile,0.9618055187635204,10,0.1541561931371688,0.9114583333333334,0.916849678608564,0.9114583333333334,0.912328046642094
H3,final,AE,KG,101,1,False,32,96,0.05,0.0015,False,weak,0.9618055187635204,10,0.1541561931371688,0.453125,0.6985376213592233,0.453125,0.4322504957682232
H3,final,AE,KG,123,1,False,32,96,0.05,0.0015,False,iid,0.9651839582497156,8,0.1538218259811401,0.9565972222222222,0.9570075069382572,0.9565972222222222,0.9566897682614136
H3,final,AE,KG,123,1,False,32,96,0.05,0.0015,False,ood_profile,0.9651839582497156,8,0.1538218259811401,0.9288194444444444,0.9321184280675276,0.9288194444444444,0.9294340945677269
H3,final,AE,KG,123,1,False,32,96,0.05,0.0015,False,weak,0.9651839582497156,8,0.1538218259811401,0.4635416666666667,0.7149071736354466,0.4635416666666667,0.446755291429124
H3,final,AE,KG,202,1,False,32,96,0.05,0.0015,False,iid,0.967106108310712,16,0.1547490954399109,0.9565972222222222,0.9570360090225156,0.9565972222222224,0.95666008443942
H3,final,AE,KG,202,1,False,32,96,0.05,0.0015,False,ood_profile,0.967106108310712,16,0.1547490954399109,0.9236111111111112,0.926722366428726,0.923611111111111,0.9241511466079096
H3,final,AE,KG,202,1,False,32,96,0.05,0.0015,False,weak,0.967106108310712,16,0.1547490954399109,0.4236111111111111,0.6799937869452464,0.4236111111111111,0.4036974207812165
H3,final,CNN,KG,101,1,False,32,96,0.05,0.0015,False,iid,0.9878229003964916,25,,0.9826388888888888,0.982801543214498,0.9826388888888888,0.9826614545112052
